customer_id,first_name,last_name,email,city,state,region,lifetime_spend,order_frequency,last_order_date,recency_days,customer_segment
CUST000001,Liam,Chaudry,udant@,Kishanganj,Gujarat,North,9425.55,1,2025-01-01 00:24:26,105,Low Value
CUST000002,Arunima,Ahuja,ckannan@example.net,Hapur,Punjab,South,223498.9,6,2025-02-19 06:38:51,56,VIP
CUST000003,Kritika,Brar,caleb78@example.org,Salem,Madhya Pradesh,North,64280.17,3,2025-03-25 10:47:16,22,High Value
CUST000004,Isha,Kadakia,sudiksha52@example.com,Anantapur,Uttarakhand,Central,73690.71,2,2025-04-01 17:52:53,15,High Value
CUST000005,Nandini,Loyal,karnikazad@example.com,Kishanganj,Nagaland,North,68180.78,2,2025-04-13 05:34:37,3,High Value
CUST000006,Theodore,Devi,priya96@example.com,Kavali,Manipur,South,146428.12,4,2025-04-05 02:12:50,11,VIP
CUST000007,Harini,Choudhury,advay18@example.com,Jamnagar,Kerala,Central,175243.07,5,2025-03-24 05:24:26,23,VIP
CUST000008,Anirudh,Choudhury,aadinaik@example.com,Warangal,Sikkim,South,106046.55,3,2025-03-24 04:44:34,23,VIP
CUST000009,Pallavi,Kakar,qgandhi@example.net,Sonipat,Andhra Pradesh,North,292205.68,8,2025-04-14 10:33:04,2,VIP
CUST000010,Daniel,Karnik,thomasamble@example.org,Latur,Uttar Pradesh,West,64670.41,3,2025-03-09 08:47:08,38,High Value
CUST000011,Gunbir,Sankar,mray@example.org,Jhansi,Nagaland,South,172189.71,5,2025-03-18 10:08:31,29,VIP
CUST000012,Arya,Shere,bdey@example.org,Shivpuri,Meghalaya,North,81798.81,4,2025-03-11 01:01:07,36,High Value
CUST000013,Ladli,Agate,nandinibhargava@example.org,Adoni,Telangana,North,135094.11,7,2025-04-07 21:04:36,9,VIP
CUST000014,Vansha,Thakkar,murthydakshesh@example.org,Jehanabad,Haryana,Central,69958.05,3,2025-04-06 22:00:20,10,High Value
